标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
四代同框,脱缰凯Kk,小剧场,177129,21638,722,2755,3100,1793,267,227,2026-08-09 09:21:13,BV1Bqum6dET6,2026-08-10,14.64638888888889,0.6102662037037038
难绷！小偶像戴上雷霆面具，难道是...三角初华？二角梨诺！,zcy902,同人·手书,297106,28557,582,603,5025,3701,2124,197,2026-08-09 03:30:00,BV1MSuu6PEYy,2026-08-10,20.5,0.8541666666666666
新篇章 | 《穿越火线：潜伏》CF IP嘉年华发布现场,穿越火线潜伏,单机游戏,510346,16075,242,53,1314,666,220,479,2026-08-09 03:06:36,BV1eCuV6XEga,2026-08-10,20.89,0.8704166666666667
【独家】《记忆管理局》第4集 燃灯与灰火【8月国创】,哔哩哔哩国创,国产动画,489867,6757,1194,2841,1373,4152,391,1448,2026-08-09 04:00:01,BV1FdMk65EY2,2026-08-10,19.99972222222222,0.8333217592592592
【巫师】万字吃透科技国运暴富机会，以及我是怎么亏的,巫师财经,财经商业,104200,6629,888,559,3877,3095,1516,1622,2026-08-09 07:35:00,BV1hxug6BEL6,2026-08-10,16.416666666666668,0.6840277777777778
《异环》1.3版本PV「雾中朔望星回」,异环,单机游戏,1750993,41195,3422,831,5997,3039,1385,648,2026-08-09 03:00:00,BV1egM16kE9D,2026-08-10,21.0,0.875
新能源车型越来越重，底盘还能兜得住吗？,胜利文绉绉,新能源车,371680,9232,480,594,2193,3630,1051,571,2026-08-09 03:00:00,BV1TXuu6wEKU,2026-08-10,21.0,0.875
《光与夜之恋》全新活动PV：金港往事,光与夜之恋,手机游戏,984007,31679,1351,1379,4238,3666,2165,232,2026-08-09 01:00:00,BV1Btuu67EA2,2026-08-10,23.0,0.9583333333333334
对话诺兰！导演亲手翻开了《奥德赛》的另一面,影视飓风,数码,427041,38618,1254,1135,7497,8165,2117,845,2026-08-09 03:00:00,BV1Apu368EeY,2026-08-10,21.0,0.875
宝藏月点位一图流来啦！但藏宝图在哪呢？神秘蜂医流出？鸟窝货不对板！夜坝没有宝藏！彩蛋门假密码！事已至此来薅局外羊毛吧！,Key725,网络游戏,286682,15016,2489,1477,2764,1242,371,415,2026-08-09 02:00:00,BV1AyuG6PEUU,2026-08-10,22.0,0.9166666666666666
锐评绝区零搜打撤 制作组真的夸张 能让这么逆天的东西出来,东方寒兔,手机游戏,112511,8774,1672,398,1022,2103,662,539,2026-08-09 03:47:14,BV1tfuL6nE4J,2026-08-10,20.212777777777777,0.842199074074074
当恐怖美学的“美”压过“恐怖”，会发生什么？-【恶灵附身2】终极鉴赏  (Leya蕾雅),Leya蕾雅,单机游戏,34328,2595,191,291,1336,1048,70,2574,2026-08-09 08:38:41,BV13Ku16uENP,2026-08-10,15.355277777777777,0.6398032407407407
会发光の移动galgame！,ACG外观研究社,数码,58031,8415,41,160,3551,5199,32,340,2026-08-09 06:12:16,BV1dBu16jE7B,2026-08-10,17.795555555555556,0.7414814814814815
八星大佬不为人知的一战,争取最后的自由,汽车生活,175405,15364,594,889,1853,994,629,466,2026-08-09 01:00:00,BV1ywu566Ere,2026-08-10,23.0,0.9583333333333334
当屈原开粉丝签售会,混饭达人,娱乐杂谈,109652,19163,380,518,1818,1212,377,394,2026-08-09 03:12:27,BV1gvuj6dEV4,2026-08-10,20.7925,0.8663541666666666
外国大肘子连续肘击兔娘猫罐张诗尧？！,猛男舞团IconX,日常,252818,23836,265,110,1501,1638,346,67,2026-08-09 04:03:21,BV1Geuj64EpW,2026-08-10,19.944166666666668,0.8310069444444445
有个姐姐也不错！,小草莓林杉杉,日常,194054,14354,159,126,4539,1222,46,30,2026-08-09 04:19:40,BV1hmu36GEvk,2026-08-10,19.67222222222222,0.8196759259259259
【梨诺】首发攻略 电+自然核心辅助 角色定位/技能解析/配队推荐/养成推荐/潜能/抽取建议,YZ-月咒,手机游戏,249074,6915,2704,535,1335,1503,567,470,2026-08-09 04:05:00,BV1H5uj6gErY,2026-08-10,19.916666666666668,0.8298611111111112
【战双帕弥什】动画短片 | 于频率中相汇,战双帕弥什,手机游戏,179931,19436,657,280,4011,6918,1209,89,2026-08-09 03:00:00,BV16iMr6MEwn,2026-08-10,21.0,0.875
