标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期,发布小时,发布天数
万一真爱呢？司马懿未必有良子女友能忍！【网络狠人109】,喵喵即正义,日常,1025554,46332,1786,1449,5542,1138,3092,387,2026-07-25 03:40:11,BV16o3K6mEhw,2026-07-26,20.330277777777777,0.8470949074074073
东北人吃到美食belike （喵小乐配音）,喵小乐是喵喵,配音,1244973,213171,9797,7626,62045,14393,29549,37,2026-07-25 08:58:50,BV1Hj3M69EFK,2026-07-26,15.019444444444444,0.6258101851851852
贫民窟vs顶级海景别墅，美国居住环境差距有多大？,杰克小兔,出行,447179,22226,817,2379,5423,6711,1028,1632,2026-07-25 10:00:00,BV1Zp3M6UEvT,2026-07-26,14.0,0.5833333333333334
女网红惨遭男友PUA？！分手后能找到新男友吗？【二次元脱单日记】,视角姬,汽车生活,865892,25665,2116,2261,8261,1915,1298,857,2026-07-25 04:00:00,BV1HZge6ZEck,2026-07-26,20.0,0.8333333333333334
选一辆车，决定你接下来的旅途,麒麟光谱,汽车生活,904403,46063,916,4041,17350,6540,1054,671,2026-07-25 11:21:51,BV1Sk3g6CEzr,2026-07-26,12.635833333333334,0.5264930555555556
你遇到的客人可能不是人类！请随时准备开枪！午夜轮班！,与山0v0,单机游戏,1046898,50883,1197,11029,25674,13248,1281,12258,2026-07-25 02:23:08,BV1DE3T6YEuA,2026-07-26,21.614444444444445,0.9006018518518518
キャンディークッキーチョコレート🍭🍪🍫初音ミク・重音テトSV【官方投稿】,はろけるHalloCel,VOCALOID·UTAU,619188,110374,6068,3612,45248,24373,2904,169,2026-07-25 00:40:00,BV1MAgi6VEio,2026-07-26,23.333333333333332,0.9722222222222222
为什么穿越到一战问士兵这是二战吗会让人绷不住？,我捞捞捞,影视杂谈,1325875,43878,1505,665,10075,756,225,1563,2026-07-25 08:00:00,BV1GoKk6dEp4,2026-07-26,16.0,0.6666666666666666
下楼就是玩,脱缰凯Kk,小剧场,871516,83364,1624,1622,7860,2784,712,218,2026-07-25 10:46:39,BV15a3g6HEm1,2026-07-26,13.2225,0.5509375
百佩创业记,无我漂佩MY,日常,1216862,79565,1001,1564,14573,4985,1217,175,2026-07-25 09:33:46,BV1ko3g6PERc,2026-07-26,14.437222222222223,0.601550925925926
移民对欧洲的反噬！18岁意大利女孩被非法移民做成“人彘”，引发政策大变动！,挖沟连彭沟长,社科·法律·心理,701024,24431,1749,2642,5383,798,753,520,2026-07-25 02:00:00,BV1vmgY61E77,2026-07-26,22.0,0.9166666666666666
这铃妹一看就知道很健康,小天涯w,颜值·网红舞,397048,86620,1550,124,40049,2430,1450,15,2026-07-25 06:00:00,BV1b4gq61E4U,2026-07-26,18.0,0.75
对华为半导体首席科学家廖恒的5小时访谈：一部昇腾史、18层宝塔与全球芯片恢弘30年史诗| B站 x WAIC AI会客厅,张小珺商业访谈录,计算机技术,373796,7931,1904,841,6968,2550,1686,16672,2026-07-25 13:19:38,BV1nB3u6tERu,2026-07-26,10.672777777777778,0.4446990740740741
