标题,UP主,分区,播放量,点赞数,评论数,弹幕数,收藏数,投币数,分享数,时长秒,发布时间,BV号,数据日期
《时之铃》首曝 | 世界观PV，欢迎来到这个混乱的世界！,时之铃,手机游戏,1645038,13428,955,372,8100,879,864,182,2026-07-25 02:00:00,BV11egx63EJi,20260726
萌力出击～,唔知搞咩-,喵星人,959152,94794,1107,205,8786,1164,3357,18,2026-07-24 04:58:52,BV1vcgh6uEyt,20260726
我最爱吃饺子了！,邢三狗子,搞笑,1528055,75285,998,548,12559,1067,509,196,2026-07-23 12:29:38,BV1ieg46cERr,20260726
仙弹SVCH！绝航要笑着玩！贱徐三角洲,贱徐,网络游戏,229454,8628,574,259,619,666,152,296,2026-07-25 13:36:22,BV15R3u62EVV,20260726
富贵，即是负累,千千今天怎么吃,美食记录,840410,53071,992,2684,4461,14113,1725,203,2026-07-22 09:30:00,BV1z2KY6rELe,20260726
什么叫100W的手机，充电只有20W？,林捂捂,数码,117689,10506,840,811,2866,4306,717,612,2026-07-26 02:30:00,BV1Gage61ETG,20260726
小心伪牛！,游戏解说艾登,单机游戏,4771966,45431,336,1274,51947,1619,247,251,2026-07-23 09:49:34,BV1aKgQ64EGT,20260726
终于，我把男友的前女友们凑到了一个桌上...,妍妍酱的一天,日常,284484,8192,768,3038,2781,3878,1407,4588,2026-07-25 04:44:50,BV1XY3K6PEGF,20260726
淘汰赛全员大招!!ice bridge现场是真的猛!!ranzer大哥你终于正常了!shark对了 再见了vava李斯丹妮!!【艾德宝陪您巅峰2026第五期上】,ADBABY打你屁屁,乐评盘点,292809,5337,1406,5399,1217,1401,145,2366,2026-07-25 13:15:08,BV1rr3u6xE5n,20260726
我是如何两次与菲尔兹奖擦肩而过的,李永乐老师官方,科学科普,880161,29065,1496,632,2707,1257,915,135,2026-07-24 10:06:49,BV1Siga6PEvL,20260726
只是随心一绷罢了,花离海_世一芬,汪星人,6365670,145814,1117,1207,60079,6383,4203,197,2026-07-22 02:10:00,BV1VqKe6qEzq,20260726
在吃寿司～,小UuzZ,日常,1875851,276199,4482,418,54478,9501,5287,21,2026-07-22 04:33:18,BV1LFgk6zEkZ,20260726
千万博主谈b站真相（完整版）,逗比的雀巢,搞笑,6191572,487167,9104,8876,78605,97616,17381,298,2026-07-20 10:05:00,BV1oiKm6yEYU,20260726
